ID,Name,Instructions,PrepTime,CookTime,Servings
1,Chocolate Chip Cookies,Mix ingredients then form balls and bake on a cookie sheet at 375 for 8-10 minutes until cooked to satisfaction. ,20,10,NULL
2,Whole Wheat Chocolate Chip Banana Pancakes,Mix all solids in one bowl. All liquids in another. Add solids to liquids. Mix. Put on pan. Add chocolate chips. Flip. ,5,5,6
3,Cereal,"1) Put your choice of cereal into a bowl
2) Pour milk over the cereal",1,0,1
4,veg chili,"Heat oil in the pan, when it’s hot, add in the minced green chili/jalapeños/chili flakes. After a minute or two, add in the green pepper and celery. Stir occasionally for 4-5 minutes until the vegetables have softened, add in the corn and tomatoes. When adding the tomato paste, make sure to add water to thin it out. Use your judgement, maybe a cup ish? Stir well for another 8-10 minutes, adding in the beans a few minutes in. Then add in the chili flakes, the Italian seasoning, paprika, brown sugar, salt, and basil. Stir often. After the 10 minutes are up, add in more water, so nothing burns while pressure cooking, and then pressure cook on high for 12 or so minutes. Once that’s done, you may have to sauté for a few minutes to get the consistency you would like. Add basil to top.",15,10,4
5,Greek village salad ,"Chop up all ingredients to size of choice, combine in bowl, drizzle over olive oil and oregano, toss, and serve with a side of bread",15,3,5
6,Oreo Cookie Cheesecake,Mix all ingredients. Whisk. Crush oreo cookies. Make cheesecake. Enjoy. ,60,240,10
7,Pesto Pasta,"Toast pine nuts in the oven by preheating the oven at 350 and baking for 5-7 minutes. In a food processor pulse toasted pine nuts, chopped garlic, and Parmesan, then add basil then slowly add oil. Salt to taste, stir into fresh cooked pasta with scoop of pasta water ",10,10,6
8,15 Minute Spicy Udon Stir Fry,"1) Prepare your vegetables and set aside. Mix up the sauce by combining all the ingredients in a small bowl. Set aside. If you like, you can fill a large bowl with hot tap water and add udon noodles to the bowl to soak, so they can be separated before adding to the wok This isn't necessary though, as you can add fresh udon noodles directly from the package to the wok. I just find it easier to stir fry them having them separate before the go in to the wok.
2) In a large frying pan or wok, heat oil over medium-high heat until very hot. Add carrots and cook, stirring for a minute or so. Add onions and cook, stirring, until onions are soft and carrots are tender. Add green onion and cook, stirring, for 30 seconds or so.
3) If soaking udon noodles, gently stir to loosen udon noodles and separate, then drain. Add drained noodles (or unsoaked noodles)to the wok and cook, stirring, for 30 seconds or so. (Stir fry a little longer is soaked, to cook off any extra water before adding the sauce). Add sauce and cook for another 30 second, stirring to combine well. Scatter baby spinach over top and cook, stirring constantly, until spinach is wilted.
4) Remove stir fry to a bowl or plate and garnish with sesame seeds, additional sliced green onion and parsley/cilantro.",5,10,2
9,Chicken Slime,"Season chicken breast liberally with salt, pepper, onion, and garlic powder. Place on baking sheet and bake at 400 degrees fahrenheit for 25 minutes. Place chicken breast into blender along with olive oil (for a low fat version, use chicken broth). Blend until smooth and homogenous.

Use as dip, sandwich spread, or post-workout smoothie.",5,30,2
10,Creamy Baked Mac and Cheese,"Preheat oven to 325 degrees F and grease a 3 qt baking dish (9x13"").  Set aside.
Bring a large pot of salted water to a boil.  When boiling, add dried pasta and cook 1 minute less than the package directs for al dente.  Drain and drizzle with a little bit of olive oil to keep from sticking.
While water is coming up to a boil, grate cheeses and toss together to mix, then divide into three piles.  Approximately 3 cups for the sauce, 1 1/2 cups for the inner layer, and 1 1/2 cups for the topping.
Melt butter in a large saucepan over MED heat.  Sprinkle in flour and whisk to combine.  Mixture will look like very wet sand.  Cook for approximately 1 minute, whisking often.  Slowly pour in about 2 cups or so of the milk/half and half, while whisking constantly, until smooth.  Slowly pour in the remaining milk/half and half, while whisking constantly, until combined and smooth.
Continue to heat over MED heat, whisking very often, until thickened to a very thick consistency.  It should almost be the consistency of a semi thinned out condensed soup.
Remove from the heat and stir in spices and 1 1/2 cups of the cheeses, stirring to melt and combine.  Stir in another 1 1/2 cups of cheese, and stir until completely melted and smooth.
In a large mixing bowl, combine drained pasta with cheese sauce, stirring to combine fully.  Pour half of the pasta mixture into the prepared baking dish.  Top with 1 1/2 cups of grated cheeses, then top that with the remaining pasta mixture.
Sprinkle the top with the last 1 1/2 cups of cheese and bake for 15 minutes, until cheesy is bubbly and lightly golden brown",20,15,8
11,Nutty Berry Sandwich,Lather spreads on to a single side of each slice of bread. Combine slices with spread on the inside ,2,4,1
12,Homemade Granola,"Heat oven to 350 degree F. In a large bowl, mix together Old Fashioned Oats, Sliced Almonds, and Chopped Walnuts. In a smaller bowl, combine Pure Maple Syrup, Vegetable Oil, Ground Cinnamon, Vanilla, & Ground Nutmeg. Drizzle over oat mixture & mix well. Spread evenly in 13 by 9 inch baking pan. Cook for 20min and allow time to cool. ",10,20,8
13,Peanut Butter and Jelly Sandwich ,Take your 2 slices of white bread and spread the peanut butter and jelly equally on each slice. Then combine the 2 slices together.,2,0,1
14,Herby couscous and garlic butter shrimp,"""Toast Couscous with a little bit of oil

Add 2 cups of water, 2 tbsp of salt and 1 smashed garlic clove 

Bring to boil, cover the pot, and let it simmer for 10 -12 minutes

Take out the garlic clove and save for later

Once all the water is absorbed add green onions, 3 tbsp cilantro, and artichoke lemon pesto

Set aside couscous

For the shrimp mix together butter, remaining cilantro, chopped garlic, and 1 white portion of green onion chopped

Place shrimp on foil, drizzle with a little bit of oil, salt and pepper, and lime juice, then  smother shrimp with butter mixture

Tent the foil and bake for 15 minutes at 350F

Serve couscous with shrimp and drizzle on top with the melted butter and juices from shrimp pouch.""",15,15,1
15,Cucumber Bagels,cut the cucumbers in half and lay on the cream cheese. season to your liking!,0,1,1
